,tract,count_311,count_crime,homeless_2016,homeless_2017,count_shelter,count_population
492,199700,22,1,22,18,0,3411
493,199800,1,3,10,9,0,5631
494,199900,24,0,17,15,0,2683
495,201110,4,0,0,14,0,2574
496,201120,43,0,4,15,0,4097
497,201200,10,0,6,12,0,2519
498,201301,12,0,9,20,0,3442
499,201302,1,0,4,4,0,3732
500,201401,26,4,0,13,0,4803
501,201402,17,2,0,6,0,4311
502,201501,29,1,0,15,0,5306
503,201503,7,1,2,2,0,3323
504,201504,2,1,0,11,0,2428
505,201601,15,0,3,10,0,2288
506,201602,20,6,5,34,0,2840
507,201700,5,0,10,8,0,5093
508,203100,4,1,11,0,0,4839
509,203200,18,0,0,3,0,4844
510,203300,17,5,12,22,0,2607
511,203500,11,2,18,42,1,3064
512,203600,4,2,28,17,0,5394
513,203710,12,0,0,0,0,3259
514,203720,11,1,0,3,0,4001
515,203800,9,0,4,4,0,4589
516,203900,19,0,3,17,0,2944
517,204110,2,3,9,15,0,3078
518,204120,6,0,3,0,0,2650
519,204200,6,2,6,3,0,3303
520,204300,14,1,0,12,0,4787
521,204410,20,2,14,7,0,2363
522,204420,6,1,130,122,0,3138
523,204600,19,1,42,30,0,4101
524,204700,10,7,23,49,0,4972
525,204810,12,0,21,11,0,4478
526,204820,5,1,15,10,0,2274
527,204910,4,0,10,3,0,3105
528,204920,11,0,27,33,0,2598
529,205110,1,0,3,6,0,3766
530,205120,20,2,100,107,0,3618
531,206010,23,6,43,20,0,3127
532,206020,8,10,12,22,0,7883
533,206031,192,31,59,139,0,2957
534,206032,22,4,143,163,5,5275
535,206050,29,1,144,41,0,2146
536,206200,40,116,685,600,8,3386
537,206300,186,327,2661,3229,11,7540
538,207101,2,6,11,65,0,3047
539,207102,27,16,205,189,0,2553
540,207103,2,2,5,11,0,2077
541,207301,33,24,252,595,0,4521
542,207302,22,26,93,60,0,3791
543,207400,37,22,58,129,0,1363
544,207501,4,1,5,19,0,2218
545,207502,7,9,26,55,0,2589
546,207710,40,50,123,153,1,2490
547,207900,16,15,27,81,1,4163
548,208000,50,4,10,28,0,6893
549,208301,1,0,13,3,0,2201
550,208302,16,4,112,100,2,4360
551,208401,10,4,11,6,0,3770
552,208402,48,0,42,44,0,2775
553,208501,23,5,31,28,1,2656
554,208502,5,4,16,19,1,3571
555,208610,30,2,85,22,0,4195
556,208620,29,1,27,9,0,4660
557,208710,81,2,10,9,0,4309
558,208720,23,11,92,211,0,4179
559,208801,39,52,36,264,0,2995
560,208802,39,10,10,12,0,2906
561,208902,9,3,12,14,0,2339
562,208903,8,5,169,203,1,4019
563,208904,0,3,7,6,0,3926
564,209102,9,3,187,58,0,5267
565,209103,0,1,11,1,0,3216
566,209104,0,0,100,100,1,2434
567,209200,35,8,145,31,0,2785
568,209300,66,6,68,51,0,5021
569,209401,73,6,61,47,1,3914
570,209402,11,12,18,25,0,3728
571,209403,25,9,36,16,0,3600
572,209510,47,2,25,34,0,2692
573,209520,31,12,21,44,0,2791
574,209810,7,2,9,5,0,2472
575,209820,0,3,25,2,0,2968
576,210010,60,4,40,35,0,3520
577,211000,7,1,7,9,0,4431
578,211120,191,15,23,49,0,5194
579,211121,19,1,5,33,0,2351
580,211122,72,5,35,71,0,3075
581,211201,1,0,8,2,0,2645
582,211202,10,4,6,3,0,2645
583,211310,5,1,4,0,0,3846
584,211320,77,3,10,8,0,3184
585,211410,24,3,0,8,0,3095
586,211420,16,1,9,2,0,3859
587,211500,41,1,4,9,0,4355
588,211701,20,2,4,3,0,2827
589,211703,12,0,5,8,0,4750
590,211704,7,2,5,9,0,3016
591,211802,165,6,24,41,0,4192
592,211803,10,0,2,7,0,3529
593,211804,25,4,4,13,0,3221
594,211910,21,0,24,3,0,4657
595,211921,74,4,5,23,0,2474
596,211922,69,0,0,4,0,3389
597,212101,58,5,29,11,0,2507
598,212102,21,1,13,7,0,2446
599,212202,6,0,18,2,0,3612
600,212203,12,4,11,14,0,2679
601,212204,156,12,20,65,0,3344
602,212303,22,0,11,7,0,3326
603,212304,6,2,3,5,0,1804
604,212305,2,1,9,14,0,2865
605,212306,6,0,4,12,0,3052
606,212410,53,6,5,2,0,3903
607,212420,7,2,10,4,0,3228
608,212501,20,0,2,2,0,2165
609,212502,115,3,19,29,0,2767
610,212610,41,4,10,14,0,4074
611,212620,0,0,2,3,0,4341
612,212701,88,0,1,4,0,2430
613,212702,3,0,2,4,0,3635
614,212800,3,0,14,13,0,4273
615,212900,2,0,8,18,1,4074
616,213100,29,2,12,17,0,2721
617,213201,27,1,13,34,0,4198
618,213202,11,1,10,1,0,3873
619,213310,4,1,5,9,0,3477
620,213320,13,0,29,20,0,2481
621,213401,10,1,1,7,0,4951
622,213402,5,4,13,5,0,4645
623,214000,17,0,3,12,0,3898
624,214100,27,0,2,8,0,3944
625,214400,7,0,0,15,0,2877
626,214501,4,4,18,14,0,2932
627,214502,0,0,0,3,0,5528
628,214503,0,0,7,2,0,3325
629,214600,30,0,15,8,0,2411
630,214700,19,0,13,5,0,2512
631,214800,27,0,11,7,0,2573
632,214901,2,0,2,0,0,3083
633,214902,21,0,8,14,0,2586
634,215101,7,0,5,12,0,2477
635,215102,5,1,4,4,0,3110
636,216100,0,1,0,4,0,2289
637,216200,25,0,6,3,0,4911
638,216300,17,2,9,1,0,4526
639,216401,22,2,7,8,0,4189
640,216402,1,0,0,1,0,2615
641,216700,37,0,15,4,0,3709
642,216800,38,1,3,11,0,3289
643,216900,13,0,34,26,0,5060
644,217001,15,2,10,4,0,2654
645,217002,7,0,62,32,0,4977
646,217100,17,0,13,8,0,5374
647,217200,40,3,28,1,0,3905
648,218110,5,2,12,40,0,3453
649,218120,2,1,37,73,0,4530
650,218210,2,0,6,4,0,4457
651,218220,3,3,4,9,0,4358
652,218300,59,3,12,24,0,5520
653,218400,40,0,4,21,0,4714
654,218500,44,1,11,30,0,2869
655,218600,11,0,12,2,0,3142
656,218701,14,0,4,8,0,2430
657,218702,13,3,10,14,1,2176
658,218800,10,0,3,31,0,2658
659,218900,2,2,2,29,0,5464
660,219010,3,1,17,22,0,2814
661,219020,10,1,9,46,0,4798
662,219300,42,3,15,14,0,3700
663,219500,4,1,19,26,0,1737
664,219700,50,12,17,16,0,4306
665,219800,8,0,6,25,0,3310
666,219901,19,1,4,26,0,5234
667,219902,4,1,8,15,0,4113
668,220000,11,5,23,20,0,5345
669,220100,15,1,15,5,0,2334
670,221110,39,0,5,14,0,3565
671,221120,5,0,6,6,0,3373
672,221210,27,0,1,14,0,3300
673,221220,5,0,11,46,0,3378
674,221302,3,3,41,52,0,4403
675,221303,0,3,38,25,0,2551
676,221304,1,1,42,2,1,3319
677,221401,5,4,5,63,0,3359
678,221402,8,0,64,2,1,2715
679,221500,4,1,18,14,0,3507
680,221601,7,1,21,21,0,3403
681,221602,29,1,6,26,0,2816
682,221710,8,1,18,21,0,2621
683,221810,0,0,30,20,1,2773
684,221820,1,2,11,1,0,3095
685,221900,2,1,4,2,1,3664
686,222001,4,1,15,12,0,3237
687,222002,24,0,7,23,0,4655
688,222100,5,1,2,31,0,3877
689,222200,9,2,8,12,0,3965
690,222500,10,1,14,6,0,4963
691,222600,9,1,3,6,1,5631
692,222700,3,1,11,102,0,3748
693,224010,41,10,49,61,0,2433
694,224020,86,10,43,43,1,2789
695,224200,7,10,50,27,0,2392
696,224310,4,1,6,2,0,2025
697,224320,14,2,8,17,0,3224
698,224410,12,0,40,22,0,3140
699,224420,10,5,8,42,0,2369
700,224600,199,11,181,357,0,3425
701,224700,3,1,9,62,0,4856
702,226001,271,10,66,175,0,2068
703,226002,1043,94,476,590,0,1604
704,226410,15,0,20,22,0,3491
705,226420,14,0,37,14,0,4906
706,226700,31,2,169,31,0,6170
707,227010,55,2,33,38,0,4662
708,227020,10,1,7,2,0,3599
709,228100,18,2,34,36,0,4916
710,228210,3,0,12,5,0,3806
711,228220,2,1,6,26,0,4389
712,228310,12,2,7,25,0,4449
713,228320,6,1,90,22,0,3219
714,228410,0,0,35,6,0,3320
715,228420,12,0,128,15,0,3150
716,228500,48,1,17,73,0,5220
717,228600,17,5,6,14,0,5049
718,228710,24,0,20,21,0,4235
719,228720,4,7,17,8,0,4492
720,228800,32,0,34,47,0,5575
721,228900,9,1,42,46,0,3216
722,229100,15,2,13,108,0,4557
723,229200,1,3,47,25,0,4394
724,229300,5,2,66,12,0,5498
725,229410,30,2,26,39,0,3343
726,229420,24,4,13,17,0,4729
727,231100,172,26,319,561,1,3350
728,231210,3,1,2,0,0,3688
729,231220,4,4,93,221,1,3824
730,231300,6,9,35,31,0,5348
731,231400,13,2,17,0,0,4688
732,231500,10,3,18,11,0,4752
733,231600,9,2,44,43,0,7110
734,231710,18,4,23,78,0,4358
735,231720,25,8,136,40,0,4966
736,231800,29,1,333,24,0,5303
737,231900,77,11,61,110,0,5968
738,232110,6,1,19,26,0,3191
739,232120,8,8,50,69,0,5263
740,232200,8,4,10,13,0,3119
741,232300,18,1,46,24,0,3926
742,232400,14,3,142,75,0,6957
743,232500,27,7,69,107,1,4619
744,232600,9,3,17,6,0,6288
745,232700,15,2,499,307,0,5895
746,232800,183,2,49,98,1,3823
747,234000,6,2,41,8,0,5335
748,234200,16,0,34,38,1,2376
749,234300,46,7,28,74,0,4098
750,234501,6,0,21,13,0,2728
751,234502,15,2,10,39,0,2698
752,234600,7,6,24,81,0,5024
753,234700,9,1,1,16,0,3888
754,234800,24,0,5,47,0,3426
755,234901,5,1,4,20,0,2999
756,234902,3,1,7,7,0,4005
757,235100,1,0,2,4,0,4520
758,235201,2,0,9,12,1,2781
759,235202,11,1,5,14,0,4557
760,236000,9,3,15,4,0,4113
761,236100,14,1,15,20,0,5265
762,236202,3,1,37,29,0,6192
763,236203,19,1,64,9,0,3417
764,236204,1,1,61,6,0,3203
765,236400,1,0,0,0,0,4113
766,237101,22,1,11,12,0,3705
767,237102,5,2,8,75,0,3254
768,237201,1,1,18,42,0,3506
769,237202,33,1,78,33,0,4388
770,237300,5,5,90,102,0,5262
771,237401,21,2,12,18,0,3616
772,237402,0,5,6,9,0,3526
773,237500,9,1,17,53,0,2675
774,237600,4,2,0,52,0,4259
775,237710,55,0,43,35,0,3887
776,237720,21,0,6,7,0,3153
777,237800,9,1,14,4,0,4371
778,237900,10,2,4,2,0,3621
779,238000,17,0,22,18,0,5864
780,238100,17,8,19,71,0,4626
781,238200,24,2,20,7,0,5267
782,238310,3,4,7,35,0,4821
783,238320,13,9,195,498,1,3787
784,238400,33,2,12,23,0,4497
785,239201,50,5,65,88,0,3562
786,239202,71,1,40,62,0,4724
787,239310,50,4,30,28,0,3996
788,239320,3,0,3,11,0,3444
789,239330,46,0,29,17,0,2879
790,239501,22,0,35,7,0,3454
791,239502,5,0,11,3,0,3372
792,239601,15,0,78,34,0,3755
793,239602,6,7,31,51,0,3313
794,239701,5,3,28,52,0,4261
795,239702,26,11,20,62,0,3927
796,239801,2,1,19,13,0,3412
797,239802,43,3,57,20,0,4902
798,240010,26,2,48,7,0,3673
799,240020,22,7,22,9,0,5055
800,240200,22,4,104,24,1,5252
801,240300,37,8,43,37,0,5691
802,240401,8,3,34,42,0,5383
803,240402,12,7,13,58,0,3854
804,240500,26,4,33,54,0,5655
805,240600,6,3,16,29,0,4932
806,240700,11,0,23,96,0,6161
807,240800,0,1,29,26,2,4377
